2026-09-18 02:24:04|INFO    |root                            |Using opensubtitlescom again after 12 hours, (disabled because: AuthenticationError)|
2026-09-18 02:24:06|INFO    |root                            |Throttling opensubtitlescom for 12 hours, until 26/09/18 14:24, because of: AuthenticationError. Exception info: "'Login failed' ~ opensubtitlescom.py@560"|
2026-09-18 02:24:06|INFO    |root                            |BAZARR All providers are throttled|
2026-09-18 02:24:06|INFO    |root                            |BAZARR Finished searching for missing Series Subtitles. Check History for more information.|
2026-09-18 03:25:12|INFO    |root                            |BAZARR All providers are throttled|
2026-09-18 03:25:12|INFO    |root                            |BAZARR Finished searching for missing Movies Subtitles. Check History for more information.|
2026-09-18 04:00:00|INFO    |root                            |BAZARR All existing movie subtitles indexed from disk.|
2026-09-18 04:00:02|INFO    |root                            |BAZARR All existing episode subtitles indexed from disk.|
2026-09-18 07:44:23|INFO    |root                            |BAZARR Finished searching for Subtitles to upgrade. Check History for more information.|
2026-09-18 08:24:04|INFO    |root                            |BAZARR All providers are throttled|
2026-09-18 08:24:04|INFO    |root                            |BAZARR Finished searching for missing Series Subtitles. Check History for more information.|
2026-09-18 09:25:12|INFO    |root                            |BAZARR All providers are throttled|
2026-09-18 09:25:12|INFO    |root                            |BAZARR Finished searching for missing Movies Subtitles. Check History for more information.|
2026-09-18 14:24:04|INFO    |root                            |BAZARR All providers are throttled|
2026-09-18 14:24:04|INFO    |root                            |BAZARR Finished searching for missing Series Subtitles. Check History for more information.|
2026-09-18 15:25:12|INFO    |root                            |Using opensubtitlescom again after 12 hours, (disabled because: AuthenticationError)|
2026-09-18 15:25:14|INFO    |root                            |Throttling opensubtitlescom for 12 hours, until 26/09/19 03:25, because of: AuthenticationError. Exception info: "'Login failed' ~ opensubtitlescom.py@560"|
2026-09-18 15:25:14|INFO    |root                            |BAZARR All providers are throttled|
2026-09-18 15:25:14|INFO    |root                            |BAZARR Finished searching for missing Movies Subtitles. Check History for more information.|
2026-09-18 19:44:23|INFO    |root                            |BAZARR Finished searching for Subtitles to upgrade. Check History for more information.|
2026-09-18 20:24:04|INFO    |root                            |BAZARR All providers are throttled|
2026-09-18 20:24:04|INFO    |root                            |BAZARR Finished searching for missing Series Subtitles. Check History for more information.|
2026-09-18 21:25:12|INFO    |root                            |BAZARR All providers are throttled|
2026-09-18 21:25:12|INFO    |root                            |BAZARR Finished searching for missing Movies Subtitles. Check History for more information.|
